lat,lng,property_name
13.8328796,100.5723097,Lumpini Park Phahon 32 
13.8301483,100.5645369,Sarin Place 
13.7327318,100.5094222,Baan Chaopraya Condo 
13.6785478,100.6085477,Ideo Blucove Sukhumvit 
13.7440432,100.5723345,Mano Tower 
13.7347952,100.5622594,Citi Smart Condominium 
13.7377059,100.5746658,Vincente Sukhumvit 49 
13.7369789,100.5561228,Siri On 8 
13.7550791,100.4692286,NUE Noble Fai Chai - Wang Lang 
13.7312776,100.5784256,Raintree Villa 
13.7821552,100.571111,Chateau In Town Ratchada 13 
13.7200454,100.5323175,Narathorn Place 
13.700012,100.5380374,Lumpini Place Water Cliff 
13.7215582,100.5042718,Villa Sathorn 
13.8065121,100.5732224,Atmoz Ladphrao 15 
13.7129047,100.5836078,Aspire Sukhumvit-Rama 4 
13.7521551,100.533363,The Line Ratchathewi 
13.7114447,100.5435652,Baan Yen Akard 
13.7442438,100.5584132,The Concord 
13.8100577,100.5601512,The Privacy Jatujak 
13.798107,100.5560948,U Delight at Jatujak Station 
13.744178,100.575319,The Niche Sukhumvit 49 
13.7421117,100.563503,Century Heights 
13.7383449,100.5464055,Oriental Residence Bangkok [Leasehold] 
13.7603365,100.6280175,Supalai Veranda Ramkhamhaeng 
13.7853509,100.5498366,Baxtor Phaholyothin 14 
13.7286241,100.5855361,Impression Ekkamai 
13.7077171,100.5983184,Zenithar Penthouse Sukhumvit 
13.7487206,100.5678957,The Parkland Grand Asoke-Phetchaburi 
13.744825,100.5838861,The Niche Pride Thonglor-Phetchaburi 
13.7292294,100.5660739,The Crest Sukhumvit 24 
13.7318854,100.5038352,FLO by Sansiri 
13.8198614,100.5683407,La Maison Phaholyothin 24 
13.7387627,100.5412306,Baan Rajprasong [Leasehold] 
13.7587391,100.4696495,The Tree Charan 30 
13.7890555,100.6277865,Plum Condo Ladprao 101 
13.7476006,100.6422316,The One Plus Srinakarin 
13.8176369,100.5325927,U Delight Bangson Station 
13.7447138,100.5671284,Prime Mansion One 
13.7353021,100.5403038,Noble Ambience Sarasin 
