lat,lng,property_name,trainstation_name,trainstation_lat,trainstation_lng,subway_station_name,subway_station_lat,subway_station_lng,subway_station_distance_meter,train_station_distance_meter
13.8171177,100.5635653,Life Ladprao,Nikhom Rotphai Khomo Sip-Et,13.82445,100.54854,Phahon Yothin,13.8142366,100.5601484,671,3154
13.6626186,100.6081638,The Excel Bearing,Mae Nam Railway Station,13.7139353,100.5536168,Bearing,13.6612628,100.6018075,897,11322
13.735464,100.5833498,Noble Form Thonglor,Khlong Tan,13.744097,100.5896845,Phrom Phong,13.73042,100.5697,2370,1603
13.702263,100.5892075,Modiz Sukhumvit 50,Mae Nam Railway Station,13.7139353,100.5536168,On Nut,13.7056546,100.6010035,1429,4847
13.7659541,100.4964572,Juldis River Mansion,Thon Buri,13.7605789,100.4788689,N/A,"","",null,2502
13.7918488,100.5013501,Modern Condo Bangplad-Charan79,Bang Bamru Station,13.7916118,100.4777099,Bang Phlat,13.7924323,100.5050274,555,2943
13.7604098,100.5553479,Casa Condo Asoke-Dindaeng,Makkasan,13.7536699,100.547394,สถานีพระราม 9,13.75723,100.565112,1351,2752
13.7176401,100.5245798,Flawless Sathorn Residence,Silom MRT Station,13.7293606,100.5378782,Surasak,13.719228,100.5215297,528,2785
13.7401414,100.5850628,Noble Solo,Khlong Tan,13.744097,100.5896845,Ramkhamhaeng,13.7429925,100.6001474,2159,1011
13.7882596,100.5427145,The Crest Phahonyothin 11,Pra Dipat,13.7927974,100.5355815,Saphan Khwai BTS Station,13.7937663,100.5497095,1382,1169
13.7791022,100.5412282,Le Rich at Aree Station,Sam Sen,13.77945,100.53003,Ari,13.779689,100.544646,688,1966
13.7586418,100.5915731,Royal Nine Residence,Khlong Tan,13.744097,100.5896845,Ramkhamhaeng,13.7429925,100.6001474,2845,2685
13.7043506,100.4220749,The Niche ID Bangkhae,Wat Sing,13.6832577,100.4478138,Bang Khae,13.7119364,100.4223971,1183,4386
13.7618513,100.5940908,Niche Mono Rama 9,Khlong Tan,13.744097,100.5896845,Ramkhamhaeng,13.7429925,100.6001474,3413,3252
13.7400215,100.5897075,C Ekkamai,Khlong Tan,13.744097,100.5896845,Ramkhamhaeng,13.7429925,100.6001474,1753,666
13.8043806,100.5109016,City Home Ratchada-Pinklao,Pra Dipat,13.7927974,100.5355815,Bang O,13.7989,100.50968,734,5371
13.7192956,100.5846138,Nusasiri Grand,Khlong Tan,13.744097,100.5896845,Ekkamai,13.7195166,100.5851075,32,3054
13.7325676,100.4671197,UNiO Charan 3,Talat Phlu,13.7208644,100.4780029,Tha Phra,13.729653,100.474163,1054,2221
13.7173814,100.5999507,PP Plus Sukhumvit 71,Sukhumvit 71,13.7429334,100.6004022,Phra Khanong,13.7151737,100.5912598,1686,4752
13.7248549,100.5293628,Diamond Tower,Silom MRT Station,13.7293606,100.5378782,Sala Daeng BTS Station,13.7284782,100.5341135,1147,1294
13.7478626,100.5487645,Life One Wireless,Makkasan,13.7536699,100.547394,Chit Lom,13.7440937,100.5430647,1022,1170
13.7550545,100.5837741,Landmark @MRTA Station,Khlong Tan,13.744097,100.5896845,Thailand Cultural Centre,13.7663,100.57026,3184,2721
13.7786705,100.5423326,The Vertical Aree,Sam Sen,13.77945,100.53003,Ari,13.779689,100.544646,389,2110
13.7475615,100.5581926,Interlux Premier Sukhumvit 13,Makkasan,13.7511902,100.5607675,Makkasan,13.7510295,100.5612129,2269,2230
13.7639356,100.6157779,LIB Condo Ramkhamhaeng 43/1,หจก.โชคพัฒนายุทธ,13.759029,100.616322,N/A,"","",null,686
13.8287344,100.5262823,The Line Wongsawang,Yaek Tiwanon,13.8396237,100.5148383,Wong Sawang,13.8298595,100.5264979,250,1914
13.7179915,100.5876295,Mulberry Grove Sukhumvit,Khlong Tan,13.744097,100.5896845,Ekkamai,13.7195166,100.5851075,500,3349
13.8385151,100.5747161,Chapter One The Campus Kaset,Bang Khen,13.8469567,100.5607095,Bang Bua,13.855994,100.585171,2595,2670
13.6859937,100.6122144,Whizdom Essence,Sukhumvit 71,13.7429334,100.6004022,Punnawithi,13.689267,100.608987,702,8364
